Aggregated.Questions,Set.1,Set.2,Set.3,Set.4
q1_age,x,x,x,x
q11_appnum,,,x,
q12_freeapppc,,x,x,
q48_edu,x,x,x,
q49_marital,x,x,x,x
q50r1_nochild,x,x,x,x
q56_income,x,x,x,x
q57_mf,,,x,x
q13_visitfreq_social,,x,,x
q13_visitfreq_music,,x,,x
q13_visitfreq_video,,x,,x
q24_tech_posatt,x,x,,x
q24_tech_enter,x,x,,x
q24_tech_comm,x,x,,x
q24_tech_negatv,x,x,,x
q25_prsnlty_leader,,x,,x
q25_prsnlty_risk,,x,,x
q25_prsnlty_drive,,x,,x
q25_prsnlty_follower,,x,,x
q26_shopsavvy_bargain,x,x,x,x
q26_shopsavvy_brands,x,x,x,x
q26_shopsavvy_earn2spend,x,x,x,x
q26_shopsavvy_applover,x,x,x,x
q26_shopsavvy_children,x,x,x,x
q2_apple,x,,x,
q2_andriod,x,,x,
q2_windows,x,,x,
q2_tablet,,,x,
q2_other,,,x,
q4_use_music_apps,,,x,
q4_use_tv_apps,,,x,
q4_use_game_apps,,,x,
q4_use_social_apps,,,x,
q4_use_news_apps,,,x,
q4_use_shop_apps,,,x,
q4_use_none_apps,,,x,
q54_white,x,x,,
q54_black,x,x,,
q54_asian,x,x,,
q54_hawai,x,x,,
q54_native,x,x,,
q54_other,,,,
q55_latino,x,x,,
