q1_age,q11_appnum,q12_freeapppc,q48_edu,q49_marital,q50r1_nochild,q50r2_inftod,q50r3_6_12,q50r4_13_17,q50r5_adult,q56_income,q57_mf,q13_visitfreq_social,q13_visitfreq_music,q13_visitfreq_video,q24_tech_posatt,q24_tech_enter,q24_tech_comm,q24_tech_negatv,q25_prsnlty_leader,q25_prsnlty_risk,q25_prsnlty_drive,q25_prsnlty_follower,q26_shopsavvy_bargain,q26_shopsavvy_brands,q26_shopsavvy_earn2spend,q26_shopsavvy_applover,q26_shopsavvy_children,q2_apple,q2_andriod,q2_windows,q2_tablet,q2_other,q4_use_music_apps,q4_use_tv_apps,q4_use_game_apps,q4_use_social_apps,q4_use_news_apps,q4_use_shop_apps,q4_use_none_apps,q54_white,q54_black,q54_asian,q54_hawai,q54_native,q54_other,q55_latino,X,Y
2,4,5,3,2,1,0,0,0,0,5,1,2.5,3.75,2.5,2.8,2,2.6666666666666665,1,1.2,2.5,2.75,5,2.5,3.4,2.6666666666666665,5,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2.1975372860750433,27.42007890899456
2,3,5,4,2,1,0,0,0,0,10,1,3,3.5,2,2.8,2,1.3333333333333333,3,2.2,3.5,2.25,5,3.5,3.2,3.3333333333333335,3.6,6,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,-3.093725567416018,7.357006764534115
6,3,6,3,1,0,0,0,0,1,12,1,3.25,2.75,2.5,3,1.5,2.6666666666666665,4.5,2,5,2,6,3,3.4,3.6666666666666665,5,4,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,-22.03584078927639,-8.259686595442021
2,4,4,4,2,1,0,0,0,0,5,0,4,3.25,2.5,3,3,3.6666666666666665,3,1.6,4,3.25,5,3,3,3.6666666666666665,2.6,6,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,-7.158385636576403,2.3343063603787977
4,3,6,4,1,0,1,1,0,0,7,1,2.5,3.5,1.75,2.2,2.5,3.3333333333333335,1.5,2.6,5.5,3,4,3,4,4,4.4,3,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0.14923632936896927,-12.340383094046542
1,4,3,1,3,1,0,0,0,0,2,0,4,3.5,2.25,3.4,1,1,4.5,2.4,4.5,2.5,4,3,3.2,4,2.6,5,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,4.054483964562519,12.891854697348558
3,4,3,3,4,0,1,0,0,0,2,0,2.5,4,3.25,2.8,2.5,3,1.5,2.4,2.5,2.5,2,3.5,2.8,5,3.6,5,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,12.718721795540056,-19.158102836466107
5,3,6,4,2,1,0,0,0,0,9,1,2.25,2.5,3.25,2,2,2.3333333333333335,4,2.6,4.5,2.25,5,1.5,3.8,3,4.8,6,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,-12.889263595871208,3.0564947817458092
3,1,5,3,1,0,1,1,0,0,7,0,2.75,2,2,2.6,3,3,4.5,2.2,4.5,2.75,5,3.5,5.4,5.333333333333333,5.8,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-5.0928211167143,-23.553439464445496
4,2,2,3,1,0,1,0,1,0,5,1,2,1.25,1.25,2.8,2.5,2.3333333333333335,3,1.6,3.5,2.25,2,1.5,1.4,1,2,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,10.685020522933161,-8.608744486283125
3,3,5,4,1,1,0,0,0,0,6,1,2.75,3.5,3.5,2.2,2.5,4.333333333333333,5.5,1.6,4,3,6,2.5,4.4,3.6666666666666665,5,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-10.19465722715009,6.425878187831078
2,2,6,3,2,1,0,0,0,0,7,0,3.25,3.25,2,2,1,1,6,0.8,2,1,5,2,3.6,3.6666666666666665,3.6,6,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1.8553227634788636,-0.34835157168938297
2,4,2,4,2,1,0,0,0,0,12,0,1.25,1.75,1.5,1.4,1.5,2,2,1,2,1.75,2,1.5,2,2.3333333333333335,2.4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,21.01801826626091,-3.460617944731749
6,4,3,3,1,0,1,0,0,0,11,0,3.25,3.25,3.25,2.6,2,1.6666666666666667,5,1.8,4.5,3,6,3.5,3.6,4.333333333333333,3.2,3,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,3.4361157843112724,-14.9088218331402
2,4,5,4,2,1,0,0,0,0,5,0,2,2.5,2.25,2.8,1.5,2.6666666666666665,3.5,1.2,2,1.5,5,3.5,2.8,3,5,6,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,6.818999883436475,9.04773826388628
