variable,attributes,mean,odds.ratio.mean.,preference.over.mean.baseline
brand0,STC,0.432,1.540335115,
brand1,Somesong,-0.22,0.802518798,0.521002729
brand2,Pear,0.088,1.091988122,0.708928928
brand3,Gaggle,-0.3,0.740818221,0.480946135
price0,$199,2.61,13.59905085,
price1,$299,0.31,1.363425114,0.100258844
price2,$399,-2.92,0.053933687,0.003965989
processor0,1.5Ghz,-2.35,0.095369162,
processor1,2Ghz,1.03,2.801065835,29.37077111
processor2,2.5Ghz,1.32,3.743421377,39.25190586
RAM0,8gb,-0.725,0.484324569,
RAM1,16gb,0.085,1.088717067,2.247907987
RAM2,32gb,0.64,1.896480879,3.915723052
screen0,5inch,-0.27,0.763379494,
screen1,7inch,-0.2,0.818730753,1.072508181
screen2,10inch,0.47,1.599994193,2.0959355140000002
