param,aucTrain,aucCal
ZIP,0.56,0.535
CHANNEL_ACQUISITION,0.506,0.5
BUYER_STATUS,0.5,0.5
READ_ALL_TYPES,0.511,0.504
BOOK_CLUB,0.511,0.508
VIDEO_CLUB,0.511,0.506
AMEX_PREM,0.513,0.509
DEBIT_CC,0.512,0.506
DISC_PREM,0.518,0.513
DISC_REG,0.512,0.507
OTHER_PREM_CC,0.519,0.516
OTHER_REG_CC,0.514,0.52
STORE_REG_CC,0.514,0.51
VISA_PREM,0.513,0.504
VISA_REG,0.532,0.499
GAS_CC,0.511,0.505
MC_PREM,0.512,0.509
MC_REG,0.514,0.514
MAJOR_CC,0.511,0.502
ANIMAL_WELFARE,0.512,0.508
CHILD_WELFARE,0.511,0.505
CULTURE_ACTIVE,0.513,0.504
ENVIRONMENTAL,0.518,0.511
HEALTH_RELATED,0.511,0.506
POLITICAL,0.511,0.506
RELIGIOUS_CONTRIB,0.511,0.505
SOCIAL_SERVICE,0.511,0.505
CD_MM_CURRENT,0.512,0.51
IRA_CURRENT,0.513,0.507
RE_CURRENT,0.512,0.506
STOCK_BOND_CURRENT,0.513,0.508
COMPUTER_ELECTRONIC,0.513,0.51
HOME_GARDEN,0.511,0.505
SPORTS_RELATED,0.524,0.518
HH_CONTACT_LENSES,0.512,0.507
INC_WIOUTSCS_V4,0.55,0.545
INC_WITHSCS_V4,0.546,0.535
FIPSCNTY,0.513,0.497
LAT,0.523,0.503
LONG,0.522,0.526
LEVEL_LAT_LONG,0.506,0.497
GEOPIXELCODE,0.546,0.526
NSM,0.514,0.499
PIXEL,0.762,0.538
PIXELGEO,0.555,0.551
ESTAGE,0.533,0.494
ADULT1_G,0.508,0.515
MARRIED,0.528,0.493
ETHNIC_DETAIL,0.537,0.525
LANGUAGE,0.513,0.498
RELIGION,0.526,0.505
ETHNIC_GROUP,0.546,0.526
E_TECH,0.531,0.527
ETHNIC_COUNTRY,0.504,0.505
ADULT1_R,0.526,0.497
HOMEOWNR,0.525,0.524
RENTER,0.511,0.51
PRENTER,0.51,0.513
ADD_TYPE,0.523,0.527
DUS,0.524,0.512
C_00_03,0.522,0.508
C_04_06,0.514,0.519
C_07_09,0.518,0.52
C_10_12,0.528,0.52
C_13_18,0.53,0.507
ADULT2_G,0.525,0.494
ADULT2_R,0.528,0.502
ADULT3_G,0.528,0.495
ADULT3_R,0.529,0.498
ADULT4_G,0.512,0.501
ADULT4_R,0.512,0.51
ADULT5_G,0.506,0.506
ADULT5_R,0.509,0.503
ADULT6_G,0.504,0.5
ADULT6_R,0.503,0.492
ADULT7_G,0.503,0.499
ADULT7_R,0.503,0.504
IND_DMR,0.512,0.498
HH_DMR,0.515,0.502
OCCUPATION,0.541,0.524
OCCUPATION_GROUP,0.532,0.545
IND_ED,0.53,0.514
PRESCHLD,0.517,0.53
CHILDPROB,0.54,0.531
CA00_03K,0.514,0.487
CA00_03I,0.535,0.513
CA04_06K,0.507,0.514
CA04_06I,0.529,0.498
CA07_09K,0.506,0.513
CA07_09I,0.526,0.516
CA10_12K,0.518,0.514
CA10_12I,0.533,0.502
CA13_18K,0.525,0.497
CA13_18I,0.532,0.497
SSN,0.509,0.524
MAILPREF,0.509,0.507
HOME_BUS,0.516,0.511
BUS_OWNR,0.511,0.51
CENTSCH,0.548,0.518
CHANNEL_DOMINANCE,0.543,0.529
STINCIND,0.573,0.516
ECHVINX,0.73,0.509
SALES,0.566,0.545
LOAN_AMT,0.568,0.545
LOAN_TYP,0.531,0.524
ESTAERNG,0.587,0.514
ESTMORTPAYRNG,0.591,0.556
ESTMORTAMTRNG,0.593,0.551
M_HH_LEVEL,0.557,0.534
M_GRPTYPE_MEDIAN,0.551,0.535
M_GLOBAL_Z4,0.528,0.53
ZCREDIT,0.518,0.524
ZCRAFTS,0.526,0.522
ZGOURMET,0.518,0.513
ZCOMPUTR,0.523,0.531
ZHITECH,0.526,0.533
ZONLINE,0.527,0.534
ZSPENDER,0.517,0.505
PRESENCE_OF_SMOKER,0.511,0.509
ZGOLFERS,0.514,0.503
ZDONORS,0.521,0.517
ZPETS,0.52,0.515
ZARTS,0.525,0.501
ZMOB,0.52,0.52
ZFITNESS,0.517,0.507
ZOUTDOOR,0.513,0.491
ZTRAVANY,0.511,0.516
ZINVESTR,0.514,0.513
ZAUTOOWN,0.509,0.504
ZGARDEN,0.521,0.513
ZCOLLECT,0.523,0.511
ZCRUISE,0.519,0.509
ZSPORTS,0.521,0.521
ZSWEEPS,0.518,0.513
ZPOLITIC,0.52,0.513
ZMUSIC,0.517,0.521
ZREAD,0.516,0.532
ZCHLDPRD,0.525,0.541
ZDIY,0.513,0.52
ZSELFIMP,0.512,0.513
ZRELIGON,0.522,0.507
ZGRANDPR,0.517,0.512
ZCLOTHNG,0.527,0.544
ZDONENVR,0.517,0.514
ZMUTUAL,0.518,0.51
ZWGHTCON,0.518,0.519
ZPRCHPHN,0.51,0.507
ZPRCHTV,0.51,0.509
ZMOBMULT,0.519,0.524
ZCREDPLT,0.524,0.517
ZDOGS,0.511,0.512
ZCATS,0.511,0.518
ZHEALTH,0.522,0.51
ZAUTOINT,0.517,0.511
ZSKIING,0.51,0.507
ZASTRLGY,0.512,0.511
ZBOATS,0.51,0.504
ZCELL,0.528,0.51
ZCOMMCON,0.528,0.51
ZHMDECOR,0.532,0.526
ZHOMEENT,0.51,0.518
ZKITCHEN,0.513,0.516
ZMOBAV,0.514,0.511
ZMOBBOOK,0.53,0.514
ZMOBCLTH,0.522,0.546
ZMOBFIN,0.526,0.528
ZMOBGIFT,0.522,0.519
ZMOBGRDN,0.522,0.499
ZMOBJWL,0.521,0.524
ZMUSCLAS,0.514,0.51
ZMUSCNTR,0.512,0.515
ZMUSCRST,0.51,0.51
ZMUSOLDI,0.51,0.508
ZMUSROCK,0.519,0.518
ZPBCARE,0.511,0.508
ZPHOTO,0.513,0.512
ZPRCHONL,0.531,0.537
ZTENNIS,0.51,0.512
ZTRAVDOM,0.514,0.516
ZTRAVFOR,0.515,0.512
ZVOLUNTR,0.51,0.508
OLD_RESPONSE_15,0.508,0.515
OLD_RESPONSE_14,0.5,0.504
OLD_RESPONSE_13,0.506,0.502
OLD_RESPONSE_12,0.507,0.501
OLD_RESPONSE_11,0.506,0.508
