param,aucTrain,aucCal
INC_SCS_AMT_V4,0.543,0.521
INC_WOUTSCS_AMT_4,0.538,0.516
POPUND10,0.543,0.533
POP_UN18,0.546,0.538
POPUND25,0.538,0.531
POP25_34,0.537,0.506
POP35_44,0.526,0.52
POP45_54,0.531,0.525
POP55_64,0.533,0.498
POP65_P,0.525,0.505
POP75_UP,0.525,0.491
POP18_65,0.544,0.51
MEDIANAGE,0.527,0.489
PHHWHITE,0.554,0.534
HH_BLACK,0.54,0.523
P_ASIAN,0.55,0.519
HH_HISPA,0.542,0.512
P_NONHISP,0.545,0.527
HH_WH_HI,0.539,0.536
HH_BK_HI,0.513,0.505
P_HHFAMI,0.533,0.506
POP_SPOSHHS,0.545,0.523
POP_CHLDHHS,0.548,0.541
POP_ADPCHLDFAM,0.545,0.533
POP_NOFAMHHS,0.531,0.523
P_HHNOHISWHT,0.55,0.527
P_FAMHHCHILD,0.529,0.514
P_FEMALE,0.534,0.522
P_FAMHHNOCHD,0.528,0.518
P_MARRY,0.528,0.518
P_DU_OCCU,0.514,0.498
P_OWNOCC,0.529,0.531
P_RENTER,0.534,0.526
POP_URBAREA,0.501,0.502
POP_URBCLUS,0.502,0.498
POP_RURFARM,0.5,0.506
POP_RURNOFARM,0.506,0.504
P_HHINCOLES10M,0.528,0.519
P_HHINCOM10_14,0.519,0.492
P_HHINCOM15_19,0.521,0.521
P_HHINCOM20_24,0.538,0.51
P_HHINCOM25_29,0.544,0.528
P_HHINCOM30_34,0.533,0.52
P_HHINCOM35_39,0.536,0.5
P_HHINCOM40_44,0.542,0.53
P_HHINCOM45_49,0.538,0.503
P_HHINCOM50_59,0.536,0.497
P_HHINCOM60_74,0.534,0.51
P_HHINCOM75_99,0.535,0.491
P_HHINCOM100_124,0.521,0.523
P_HHINCOM125_149,0.524,0.502
P_HHINCOM150_199,0.536,0.524
P_HHINCOM20_UP,0.544,0.522
MED_INC,0.542,0.519
MED_FAMINCOM,0.546,0.518
MED_NOFAMINCOM,0.531,0.506
P_CAPITA_INCOM,0.54,0.534
FEMALE_LABOR_FOR,0.538,0.496
P_IND_AGRICULTUR,0.504,0.505
P_IND_MINING,0.504,0.496
P_IND_CONSTRUCT,0.53,0.522
P_IND_MANUFACT,0.539,0.5
P_IND_WHOLESALE,0.537,0.494
P_IND_RETAILTRD,0.542,0.515
P_IND_TRANSPORT,0.538,0.494
P_IND_UTILITIE,0.525,0.49
P_IND_INFORMAT,0.534,0.51
P_IND_FINALNCE,0.537,0.524
P_IND_REALESTAT,0.532,0.515
P_IND_PROFFES,0.543,0.53
P_IND_MANAGE,0.504,0.535
P_IND_ADM_SUPPOT,0.54,0.512
P_IND_EDALSERVIC,0.53,0.523
P_IND_HEALTHCARE,0.533,0.531
P_IND_ARTS,0.529,0.496
P_IND_ACCOMMOD,0.531,0.489
